epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,138.604,1.54431,2.18521,1.02989,1.04517,0.74417,0.80405,0.80114,0.40264,0.43629,0.49355,0.42207,0.231,1.6508,1.49575,1.07989,1.06821,0.000808389,0.000808389,0.000808389
31,143.178,1.60977,2.2301,1.04953,1.03448,0.69622,0.7249,0.75873,0.41679,0.43195,0.49769,0.43751,0.22661,1.49375,1.56062,1.00676,1.08734,0.000795954,0.000795954,0.000795954
32,147.819,1.53124,2.1633,1.0299,1.04776,0.74917,0.7167,0.75422,0.38468,0.43281,0.45039,0.39916,0.20955,1.64677,1.7342,1.04426,1.12842,0.000783231,0.000783231,0.000783231
33,153.482,1.53409,2.10895,1.01295,1.04148,0.77581,0.74278,0.76408,0.40537,0.45926,0.44891,0.39918,0.21361,1.54326,1.61984,0.9975,1.08361,0.000770234,0.000770234,0.000770234
34,158.839,1.52909,2.05198,0.98893,1.04056,0.77443,0.71689,0.76756,0.42405,0.36743,0.40608,0.34219,0.17135,1.53145,1.54297,0.98079,1.08988,0.000756976,0.000756976,0.000756976
35,163.272,1.56453,2.05698,1.02445,1.0562,0.78879,0.77454,0.8029,0.44138,0.4599,0.47123,0.41117,0.21974,1.48425,1.51862,0.97623,1.07533,0.000743468,0.000743468,0.000743468
36,167.71,1.53146,2.08399,1.01199,1.05265,0.79652,0.7038,0.78205,0.41892,0.45089,0.50149,0.43396,0.22863,1.56424,1.60052,0.96625,1.07907,0.000729725,0.000729725,0.000729725
37,172.899,1.54479,2.07659,0.98958,1.031,0.75629,0.76017,0.79717,0.46851,0.45595,0.45915,0.39996,0.20872,1.42353,1.52336,0.96513,1.04833,0.000715761,0.000715761,0.000715761
38,177.379,1.44464,1.9516,0.95596,1.01614,0.77625,0.69803,0.80754,0.48246,0.38575,0.44079,0.37624,0.18618,1.34899,1.41257,0.91966,1.05325,0.000701588,0.000701588,0.000701588
39,181.873,1.47628,2.01489,0.95775,1.0122,0.76451,0.77456,0.80347,0.45446,0.42408,0.4247,0.38005,0.20377,1.43733,1.35511,0.93971,1.06001,0.000687222,0.000687222,0.000687222
40,186.97,1.48944,1.98274,0.96583,1.02903,0.72965,0.77068,0.78323,0.44711,0.38756,0.37889,0.34883,0.19799,1.38546,1.3603,0.96729,1.01581,0.000672675,0.000672675,0.000672675
41,191.419,1.38286,1.82931,0.95103,1.0277,0.7695,0.7687,0.7916,0.49886,0.43631,0.43214,0.39153,0.22507,1.37651,1.36356,0.91017,1.01251,0.000657963,0.000657963,0.000657963
42,195.975,1.49176,1.91644,0.95344,1.01538,0.83789,0.71991,0.81579,0.49142,0.40497,0.4375,0.39134,0.21934,1.34398,1.36431,0.88274,1.0287,0.000643101,0.000643101,0.000643101
43,201.236,1.44788,1.97173,0.94551,1.01865,0.79491,0.77271,0.80253,0.43564,0.42317,0.45418,0.40218,0.22484,1.46559,1.41894,0.92678,1.05174,0.000628101,0.000628101,0.000628101
44,205.699,1.56969,1.93656,0.97919,1.03316,0.80165,0.75315,0.79851,0.46139,0.43268,0.44312,0.38541,0.20003,1.34954,1.41277,0.88173,1.03588,0.000612981,0.000612981,0.000612981
45,210.183,1.38193,1.86834,0.91415,0.99989,0.78788,0.76198,0.79014,0.45357,0.45268,0.44508,0.3885,0.20856,1.39129,1.4073,0.91439,1.02648,0.000597754,0.000597754,0.000597754
46,214.712,1.42022,1.86562,0.92077,1.01885,0.79111,0.74494,0.8057,0.48025,0.47958,0.46452,0.41009,0.23052,1.28486,1.41998,0.87897,0.99451,0.000582435,0.000582435,0.000582435
47,219.352,1.38453,1.89154,0.92136,1.0087,0.74037,0.77762,0.79843,0.48963,0.4568,0.47057,0.39668,0.20599,1.3068,1.43177,0.89921,0.99171,0.00056704,0.00056704,0.00056704
48,223.887,1.44256,1.85474,0.93569,1.01478,0.76179,0.77989,0.81184,0.49415,0.4457,0.45364,0.39065,0.20954,1.34873,1.38112,0.90269,0.98744,0.000551584,0.000551584,0.000551584
49,229.275,1.37653,1.92593,0.89668,0.9975,0.83225,0.73745,0.82495,0.51575,0.47745,0.48264,0.40521,0.22935,1.24936,1.31104,0.84847,1.00573,0.000536081,0.000536081,0.000536081
50,233.908,1.35214,1.83837,0.89589,1.00055,0.80688,0.75198,0.81217,0.47306,0.45373,0.49868,0.40812,0.23271,1.39353,1.29389,0.88384,1.01576,0.000520548,0.000520548,0.000520548
51,239.144,1.34185,1.8798,0.88208,0.98925,0.7767,0.76677,0.79938,0.48077,0.46218,0.4766,0.39764,0.22653,1.32892,1.30408,0.86964,1.016,0.000505,0.000505,0.000505
52,243.739,1.34655,1.87785,0.87998,0.9878,0.80972,0.72022,0.80356,0.48446,0.47241,0.49062,0.41859,0.22784,1.32945,1.29713,0.85964,0.99588,0.000489452,0.000489452,0.000489452
53,248.303,1.41071,1.89156,0.90155,0.99601,0.81822,0.77149,0.83662,0.50801,0.49624,0.55455,0.47301,0.27377,1.25032,1.25351,0.81971,0.98508,0.000473919,0.000473919,0.000473919
54,253.597,1.30823,1.76043,0.85927,0.99316,0.80481,0.7516,0.81402,0.52539,0.46484,0.48644,0.4243,0.24709,1.19269,1.20342,0.82629,0.97874,0.000458416,0.000458416,0.000458416
55,258.176,1.36404,1.97229,0.9026,0.98993,0.75277,0.77067,0.79583,0.49985,0.44589,0.46164,0.40497,0.24069,1.26357,1.18772,0.8505,0.9916,0.00044296,0.00044296,0.00044296
56,263.335,1.36745,1.90174,0.91701,0.9951,0.81576,0.74477,0.80023,0.48222,0.43967,0.46523,0.39853,0.24403,1.29681,1.23311,0.84331,1.0097,0.000427565,0.000427565,0.000427565
57,267.99,1.29456,1.77311,0.85848,0.97713,0.81778,0.76455,0.81221,0.47301,0.52297,0.52927,0.47039,0.28762,1.34569,1.28101,0.86579,1.00572,0.000412246,0.000412246,0.000412246
58,273.229,1.33448,1.7824,0.87394,0.97453,0.80594,0.73939,0.80885,0.50094,0.44937,0.50446,0.41544,0.23187,1.26543,1.3244,0.87185,0.96799,0.000397019,0.000397019,0.000397019
59,277.741,1.31764,1.77756,0.88346,0.99595,0.82564,0.77428,0.80504,0.4909,0.49362,0.49847,0.42675,0.23307,1.29707,1.32791,0.88803,0.97885,0.000381899,0.000381899,0.000381899
60,282.265,1.3501,1.81517,0.87931,0.98711,0.84162,0.76612,0.81974,0.51374,0.53805,0.49989,0.43949,0.2529,1.2187,1.33182,0.82237,0.97767,0.000366899,0.000366899,0.000366899
61,286.727,1.32318,1.8405,0.85917,0.98996,0.82625,0.76366,0.81248,0.50189,0.52356,0.53257,0.43748,0.24842,1.28624,1.32323,0.83846,0.98782,0.000352037,0.000352037,0.000352037
62,291.232,1.34809,1.85718,0.86916,0.98319,0.83677,0.75756,0.81405,0.51327,0.52335,0.48528,0.42704,0.25444,1.23602,1.24362,0.85202,0.98495,0.000337325,0.000337325,0.000337325
63,296.375,1.31543,1.82249,0.87719,0.98044,0.84769,0.7433,0.81484,0.50388,0.48406,0.51786,0.43122,0.2661,1.28828,1.19073,0.86511,0.98845,0.000322778,0.000322778,0.000322778
64,301.553,1.27776,1.78376,0.8271,0.97551,0.84997,0.73991,0.81738,0.54318,0.50391,0.54865,0.4422,0.26405,1.16864,1.17499,0.81391,0.95387,0.000308412,0.000308412,0.000308412
65,306.214,1.24699,1.72928,0.83436,0.96844,0.8618,0.74074,0.81771,0.51565,0.50445,0.50513,0.43065,0.24169,1.24925,1.21843,0.82912,0.97398,0.000294239,0.000294239,0.000294239
66,311.498,1.22836,1.72047,0.83665,0.9756,0.87639,0.73152,0.82762,0.51264,0.51278,0.52673,0.43314,0.24665,1.24062,1.24045,0.79514,0.96902,0.000280275,0.000280275,0.000280275
67,317.24,1.29094,1.80174,0.84678,0.97462,0.84577,0.73459,0.81454,0.51008,0.51604,0.54167,0.43421,0.25365,1.25917,1.16925,0.81923,0.96768,0.000266532,0.000266532,0.000266532
