epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1750.07,0.68744,0.52993,0.88213,0.93189,0.9272,0.95645,0.75431,0.70736,0.59304,0.79944,0.000643101,0.000643101,0.000643101
1,28.7421,1.21644,3.64038,1.34449,0.00077,0.22414,0.04615,0.01763,2.55822,5.05987,1.76778,0.09406,6e-05,6e-05
1,4.79019,1.80378,4.36862,1.92111,0.002,0.32759,0.00392,0.00086,2.57794,4.29663,2.51682,0.09406,6e-05,6e-05
2,9.47512,1.09642,3.22868,1.06175,0.00083,0.24138,0.01044,0.00131,3.30151,5.0524,2.28127,0.08713,0.000129968,0.000129968
3,13.8571,1.24472,2.31048,0.99535,0.00101,0.2931,0.01669,0.00378,2.64887,4.43794,1.71316,0.0801998,0.000199805,0.000199805
4,17.5929,1.09231,1.77106,0.92517,0.00143,0.41379,0.26303,0.13403,1.80489,3.45114,1.15849,0.0732694,0.000269407,0.000269407
5,21.3958,1.0483,1.46522,0.90191,0.00235,0.5,0.35424,0.2329,1.22948,3.03474,0.95905,0.0663387,0.000338673,0.000338673
6,25.2636,1.03943,1.26341,0.93954,0.00317,0.48276,0.48256,0.36457,1.05854,2.81461,0.89749,0.0594075,0.000407501,0.000407501
7,29.1122,1.15472,1.21898,0.96237,0.5,0.28484,0.48256,0.38391,1.05147,2.68484,0.91637,0.0524758,0.000475791,0.000475791
8,33.4725,1.07653,1.01586,0.93555,0.5,0.23865,0.48255,0.40332,1.01228,2.65259,0.87168,0.0455434,0.000543443,0.000543443
9,37.2898,1.03083,0.98391,0.91526,0.48101,0.43676,0.47726,0.36272,1.04972,2.3754,0.86835,0.0386104,0.000610358,0.000610358
10,41.0692,1.00416,0.87557,0.93346,1,0.47652,0.74183,0.52013,1.01274,2.10196,0.85087,0.0316764,0.000676438,0.000676438
11,45.4596,0.96931,0.8567,0.91395,0.97358,0.48276,0.74407,0.56263,1.00847,1.94375,0.86368,0.0247416,0.000741587,0.000741587
12,49.1399,0.99859,0.88458,0.97801,0.9909,0.44828,0.81638,0.55605,1.01795,2.03171,0.85895,0.0178057,0.000805711,0.000805711
