epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,177.474,0.65703,0.54135,0.85983,0.87626,0.89899,0.91489,0.67785,0.74163,0.57754,0.81479,0.000687222,0.000687222,0.000687222
40,182.281,0.62702,0.52058,0.84501,0.93091,0.96424,0.93824,0.70637,0.74284,0.56663,0.82387,0.000672675,0.000672675,0.000672675
41,186.319,0.60952,0.52829,0.8491,0.88108,0.96014,0.93651,0.72452,0.73621,0.58095,0.82743,0.000657963,0.000657963,0.000657963
42,190.386,0.6365,0.5169,0.86592,0.9382,0.90868,0.94854,0.68682,0.74045,0.58701,0.82705,0.000643101,0.000643101,0.000643101
43,195.099,0.68863,0.53916,0.87259,0.8936,0.94572,0.95043,0.69098,0.76182,0.58751,0.82919,0.000628101,0.000628101,0.000628101
44,199.282,0.63611,0.50718,0.86798,0.89711,0.95794,0.9499,0.73156,0.68157,0.58572,0.81812,0.000612981,0.000612981,0.000612981
45,203.872,0.64121,0.55713,0.88414,0.91652,0.95802,0.9541,0.73145,0.68736,0.57851,0.80512,0.000597754,0.000597754,0.000597754
46,208.608,0.66552,0.5365,0.881,0.91578,0.94572,0.95487,0.74951,0.65883,0.55203,0.7905,0.000582435,0.000582435,0.000582435
47,213.461,0.61063,0.51097,0.85576,0.94321,0.90868,0.95597,0.74709,0.61434,0.54978,0.78469,0.00056704,0.00056704,0.00056704
48,218.053,0.61386,0.50277,0.8582,0.91584,0.96424,0.95647,0.74426,0.65051,0.52426,0.78546,0.000551584,0.000551584,0.000551584
49,222.643,0.62151,0.5048,0.87749,0.89077,0.95428,0.95179,0.73299,0.67565,0.55163,0.78776,0.000536081,0.000536081,0.000536081
50,227.182,0.58288,0.50532,0.859,0.92028,0.96424,0.95107,0.74101,0.65013,0.55452,0.78942,0.000520548,0.000520548,0.000520548
51,231.147,0.58604,0.47292,0.85676,0.90801,0.96123,0.92548,0.74028,0.64401,0.56008,0.78706,0.000505,0.000505,0.000505
52,235.858,0.57343,0.47346,0.8594,0.89242,0.94572,0.91497,0.73674,0.66365,0.54987,0.78833,0.000489452,0.000489452,0.000489452
53,240.463,0.60184,0.50904,0.86672,0.89197,0.93031,0.91821,0.74314,0.66327,0.5605,0.79299,0.000473919,0.000473919,0.000473919
54,245.194,0.54956,0.47217,0.85473,0.93208,0.94572,0.94032,0.73621,0.65844,0.53378,0.81455,0.000458416,0.000458416,0.000458416
55,249.809,0.61051,0.49822,0.85548,0.92152,0.93554,0.94701,0.748,0.62659,0.55293,0.8073,0.00044296,0.00044296,0.00044296
56,254.364,0.55011,0.47777,0.86674,0.87648,0.9272,0.93829,0.76983,0.58928,0.52496,0.80649,0.000427565,0.000427565,0.000427565
57,258.263,0.56734,0.48168,0.85129,0.92207,0.94171,0.95023,0.78158,0.56822,0.50178,0.8031,0.000412246,0.000412246,0.000412246
58,262.212,0.51831,0.43402,0.83943,0.91964,0.96113,0.95043,0.78513,0.55197,0.48297,0.79502,0.000397019,0.000397019,0.000397019
59,266.163,0.519,0.44197,0.85212,0.91872,0.94494,0.94946,0.78563,0.54798,0.49282,0.78216,0.000381899,0.000381899,0.000381899
60,270.777,0.51323,0.4424,0.8352,0.95002,0.94449,0.95479,0.77286,0.57932,0.5143,0.78028,0.000366899,0.000366899,0.000366899
61,275.328,0.51198,0.43509,0.84378,0.94834,0.94572,0.95695,0.78475,0.57565,0.51315,0.78172,0.000352037,0.000352037,0.000352037
62,279.328,0.54168,0.46368,0.86852,0.96959,0.94572,0.96189,0.79753,0.55774,0.51444,0.77952,0.000337325,0.000337325,0.000337325
63,283.359,0.50877,0.44233,0.84501,0.97339,0.94138,0.95933,0.8048,0.55433,0.50609,0.78388,0.000322778,0.000322778,0.000322778
64,288.032,0.51842,0.42516,0.84636,0.9326,0.94572,0.95384,0.79642,0.56508,0.49996,0.78697,0.000308412,0.000308412,0.000308412
65,292.1,0.53936,0.44157,0.86482,0.95517,0.94572,0.95355,0.78365,0.56251,0.49363,0.78702,0.000294239,0.000294239,0.000294239
66,296.779,0.51621,0.43639,0.84063,0.93621,0.94572,0.9507,0.77625,0.54894,0.47621,0.78862,0.000280275,0.000280275,0.000280275
67,300.852,0.49198,0.42216,0.83025,0.952,0.94572,0.9565,0.8067,0.52834,0.47471,0.78677,0.000266532,0.000266532,0.000266532
68,304.871,0.49857,0.42068,0.83192,0.9517,0.94572,0.95949,0.80154,0.54709,0.49045,0.78847,0.000253024,0.000253024,0.000253024
69,308.885,0.5329,0.42449,0.83758,0.94946,0.94572,0.95852,0.80168,0.5467,0.48519,0.78839,0.000239766,0.000239766,0.000239766
70,312.93,0.51274,0.41856,0.84012,0.94512,0.94572,0.95696,0.81046,0.5179,0.46706,0.78179,0.000226769,0.000226769,0.000226769
71,317.667,0.51007,0.41297,0.82037,0.94902,0.94572,0.95687,0.79876,0.53249,0.49368,0.7777,0.000214046,0.000214046,0.000214046
72,321.625,0.50061,0.41173,0.82851,0.95068,0.95647,0.96575,0.80718,0.53613,0.4936,0.77763,0.000201611,0.000201611,0.000201611
73,325.656,0.51988,0.43094,0.85853,0.93459,0.96079,0.96284,0.81293,0.52696,0.47525,0.77792,0.000189475,0.000189475,0.000189475
74,329.925,0.51115,0.41998,0.83128,0.91963,0.95995,0.95897,0.82183,0.50804,0.44248,0.77763,0.000177651,0.000177651,0.000177651
75,333.91,0.5036,0.41362,0.8597,0.93465,0.96033,0.95868,0.8217,0.4971,0.44719,0.77768,0.000166149,0.000166149,0.000166149
76,338.008,0.47582,0.40759,0.8404,0.95063,0.96086,0.96223,0.81772,0.51589,0.46015,0.77885,0.000154982,0.000154982,0.000154982
77,342.636,0.48342,0.40138,0.85062,0.93456,0.96096,0.95643,0.81541,0.52718,0.46181,0.7795,0.000144161,0.000144161,0.000144161
78,347.21,0.44142,0.3957,0.83853,0.95065,0.96083,0.96654,0.82576,0.50465,0.46533,0.78086,0.000133695,0.000133695,0.000133695
79,351.205,0.46839,0.40444,0.83257,0.91949,0.94572,0.95859,0.81607,0.50359,0.46455,0.78089,0.000123596,0.000123596,0.000123596
80,355.8,0.48509,0.39817,0.85456,0.93475,0.94572,0.96011,0.80812,0.50286,0.46002,0.77946,0.000113873,0.000113873,0.000113873
81,359.926,0.46338,0.38096,0.84668,0.93482,0.94572,0.95865,0.80611,0.5069,0.4652,0.77975,0.000104537,0.000104537,0.000104537
82,364.666,0.47482,0.40692,0.83517,0.93485,0.94519,0.95892,0.80986,0.49369,0.44456,0.77764,9.55951e-05,9.55951e-05,9.55951e-05
83,369.403,0.41397,0.37589,0.83714,0.96936,0.9451,0.96672,0.81507,0.48807,0.44259,0.77732,8.70577e-05,8.70577e-05,8.70577e-05
84,374.08,0.40609,0.36282,0.83609,0.96943,0.9452,0.96827,0.81499,0.49036,0.43813,0.7779,7.89327e-05,7.89327e-05,7.89327e-05
85,378.049,0.4633,0.377,0.82841,0.96931,0.94507,0.96781,0.813,0.48571,0.43263,0.77762,7.12282e-05,7.12282e-05,7.12282e-05
86,382.146,0.42179,0.36645,0.82375,0.96943,0.94496,0.96773,0.81405,0.48046,0.42615,0.77639,6.39518e-05,6.39518e-05,6.39518e-05
87,386.817,0.46128,0.40424,0.82678,0.93278,0.94572,0.96272,0.81193,0.48524,0.45393,0.77571,5.71106e-05,5.71106e-05,5.71106e-05
88,391.372,0.43666,0.36734,0.83584,0.93337,0.94572,0.96299,0.81821,0.48438,0.45503,0.77508,5.07115e-05,5.07115e-05,5.07115e-05
89,395.989,0.43144,0.37375,0.82727,0.93354,0.94572,0.96292,0.81491,0.48754,0.45926,0.77522,4.47606e-05,4.47606e-05,4.47606e-05
90,400.589,0.43004,0.37336,0.83518,0.96913,0.94485,0.96822,0.82042,0.48308,0.45819,0.77589,3.9264e-05,3.9264e-05,3.9264e-05
91,433.546,0.40639,0.38675,0.80363,0.96943,0.94516,0.96715,0.82195,0.48021,0.4531,0.77611,3.4227e-05,3.4227e-05,3.4227e-05
92,438.246,0.39648,0.38336,0.8144,0.95183,0.94526,0.96018,0.81721,0.48297,0.45233,0.77714,2.96546e-05,2.96546e-05,2.96546e-05
93,442.799,0.39867,0.37798,0.80456,0.95192,0.94519,0.96033,0.81417,0.48553,0.45164,0.778,2.55513e-05,2.55513e-05,2.55513e-05
94,447.446,0.41394,0.38855,0.79171,0.9699,0.9451,0.96554,0.81563,0.49056,0.45084,0.77939,2.19212e-05,2.19212e-05,2.19212e-05
95,451.463,0.39678,0.37137,0.79583,0.95211,0.94543,0.95915,0.80404,0.49604,0.44424,0.78142,1.87678e-05,1.87678e-05,1.87678e-05
96,456.164,0.40918,0.38748,0.82264,0.96991,0.94493,0.96483,0.81051,0.50181,0.44311,0.78218,1.60943e-05,1.60943e-05,1.60943e-05
97,460.743,0.39533,0.36613,0.80121,0.96995,0.94497,0.96478,0.80525,0.49929,0.44309,0.78206,1.39032e-05,1.39032e-05,1.39032e-05
98,464.822,0.43283,0.39329,0.79411,0.95211,0.94494,0.95742,0.79981,0.50019,0.44338,0.78228,1.21968e-05,1.21968e-05,1.21968e-05
